YEAR,ST_CASE,PERSONS,HOUR,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1975,10121,4,21,0.0,0,1968.0,0.0,0.0
1975,10121,4,21,0.0,0,1972.0,1.0,0.0
1975,10122,3,18,0.0,0,1969.0,0.0,0.0
1975,10122,3,18,0.0,0,1964.0,1.0,0.0
1975,10123,1,3,0.0,0,1965.0,1.0,0.0
1975,10124,3,12,0.0,0,1970.0,1.0,0.0
1975,10125,8,17,0.0,0,1975.0,0.0,0.0
1975,10125,8,17,0.0,0,1965.0,1.0,1.0
1975,10126,4,15,0.0,0,1968.0,1.0,0.0
1975,10126,4,15,0.0,0,1971.0,0.0,0.0
1975,10126,4,15,0.0,0,1965.0,0.0,0.0
1975,10127,1,18,0.0,0,1966.0,0.0,0.0
1975,10128,2,22,0.0,0,1972.0,2.0,0.0
1975,10129,1,10,0.0,0,1967.0,1.0,0.0
1975,10130,2,12,0.0,0,1966.0,1.0,0.0
1975,10131,4,14,0.0,0,1973.0,0.0,0.0
1975,10131,4,14,0.0,0,1964.0,0.0,0.0
1975,10131,4,14,0.0,0,1973.0,0.0,0.0
1975,10131,4,14,0.0,0,1971.0,1.0,0.0
1975,10132,5,4,0.0,0,1967.0,0.0,0.0
1975,10132,5,4,0.0,0,1973.0,1.0,0.0
1975,10133,3,2,0.0,0,1974.0,0.0,0.0
1975,10133,3,2,0.0,0,1970.0,1.0,0.0
1975,10134,2,18,0.0,0,1968.0,1.0,0.0
1975,10135,6,19,0.0,0,1973.0,0.0,0.0
1975,10135,6,19,0.0,0,1974.0,1.0,0.0
1975,10136,1,1,0.0,0,1972.0,2.0,0.0
1975,10137,1,11,0.0,0,1974.0,0.0,0.0
1975,10137,1,11,0.0,0,1974.0,3.0,0.0
1975,10138,3,17,0.0,0,1969.0,0.0,0.0
1975,10138,3,17,0.0,0,1972.0,1.0,0.0
1975,10139,1,18,0.0,0,1974.0,0.0,0.0
1975,10139,1,18,0.0,0,1974.0,1.0,0.0
1975,10140,5,7,0.0,0,1968.0,1.0,0.0
1975,10141,1,22,0.0,0,1974.0,1.0,0.0
1975,10142,1,5,0.0,0,1969.0,1.0,0.0
1975,10142,1,5,0.0,0,1967.0,0.0,0.0
1975,10143,3,13,0.0,0,1961.0,2.0,0.0
1975,10144,5,3,0.0,0,1970.0,1.0,0.0
1975,10145,2,20,0.0,0,1968.0,0.0,0.0
1975,10146,2,17,0.0,0,1970.0,0.0,0.0
1975,10146,2,17,0.0,0,1971.0,1.0,0.0
1975,10147,3,24,0.0,0,1972.0,0.0,0.0
1975,10147,3,24,0.0,0,1971.0,1.0,0.0
1975,10148,3,13,0.0,0,1968.0,1.0,0.0
1975,10148,3,13,0.0,0,1970.0,0.0,0.0
1975,10149,2,1,0.0,0,1969.0,0.0,0.0
1975,10150,2,1,0.0,0,1966.0,0.0,1.0
1975,10150,2,1,0.0,0,1969.0,1.0,0.0
1975,10151,3,7,0.0,0,1964.0,0.0,0.0
1975,10151,3,7,0.0,0,1968.0,1.0,0.0
1975,10152,4,19,0.0,0,1974.0,1.0,0.0
1975,10152,4,19,0.0,0,1970.0,0.0,0.0
1975,10153,2,14,0.0,0,1974.0,0.0,0.0
1975,10154,4,21,0.0,0,1967.0,0.0,0.0
1975,10154,4,21,0.0,0,1973.0,1.0,0.0
1975,10155,1,2,0.0,0,1974.0,1.0,0.0
1975,10156,6,18,0.0,0,1969.0,0.0,0.0
1975,10156,6,18,0.0,0,1966.0,1.0,0.0
1975,10157,2,2,0.0,0,1973.0,1.0,0.0
1975,10158,2,2,0.0,0,1968.0,0.0,0.0
1975,10159,2,1,0.0,0,1971.0,1.0,0.0
1975,10160,5,4,0.0,0,1960.0,1.0,0.0
1975,10160,5,4,0.0,0,1967.0,0.0,0.0
1975,10161,5,24,0.0,0,1962.0,1.0,0.0
1975,10161,5,24,0.0,0,1968.0,0.0,0.0
1975,10162,1,1,0.0,0,1967.0,0.0,0.0
1975,10162,1,1,0.0,0,1967.0,1.0,0.0
1975,10163,1,2,0.0,0,1966.0,1.0,0.0
1975,10164,1,19,0.0,0,1964.0,1.0,0.0
1975,10165,2,8,0.0,0,1972.0,1.0,0.0
1975,10166,2,3,0.0,0,1974.0,1.0,0.0
1975,10167,2,15,0.0,0,1971.0,1.0,0.0
1975,10168,1,3,0.0,0,1970.0,1.0,0.0
1975,10169,1,24,0.0,0,1968.0,1.0,0.0
1975,10170,4,1,0.0,0,1972.0,1.0,0.0
1975,10171,1,20,0.0,0,1969.0,1.0,0.0
1975,10172,1,21,0.0,0,1969.0,2.0,0.0
1975,10172,1,21,0.0,0,1952.0,0.0,0.0
1975,10172,1,21,0.0,0,1966.0,0.0,0.0
1975,10173,2,16,0.0,2,1969.0,0.0,0.0
1975,10174,2,24,0.0,0,1972.0,0.0,1.0
1975,10174,2,24,0.0,0,1974.0,1.0,0.0
1975,10175,5,16,0.0,0,1967.0,1.0,0.0
1975,10176,4,16,0.0,0,1968.0,0.0,0.0
1975,10176,4,16,0.0,0,1964.0,1.0,0.0
1975,10177,3,2,0.0,0,1968.0,1.0,0.0
1975,10178,2,4,0.0,0,1969.0,0.0,0.0
1975,10178,2,4,0.0,0,1968.0,2.0,0.0
1975,10179,2,15,0.0,0,1971.0,0.0,0.0
1975,10179,2,15,0.0,0,1973.0,1.0,0.0
1975,10181,4,14,0.0,0,1971.0,1.0,0.0
1975,10182,2,18,0.0,0,1972.0,0.0,0.0
1975,10183,3,24,0.0,0,1973.0,1.0,0.0
1975,10184,7,24,0.0,0,1974.0,1.0,0.0
1975,10185,1,4,0.0,0,1973.0,1.0,0.0
1975,10185,1,4,0.0,0,1970.0,0.0,0.0
1975,10186,1,20,0.0,0,1966.0,1.0,0.0
1975,10187,2,9,0.0,0,1968.0,0.0,0.0
1975,10187,2,9,0.0,0,1968.0,1.0,0.0
1975,10187,2,9,0.0,0,1973.0,0.0,0.0
1975,10189,2,16,0.0,0,1965.0,1.0,0.0
1975,10190,2,20,0.0,0,1968.0,0.0,0.0
1975,10191,3,18,0.0,0,1969.0,1.0,0.0
1975,10191,3,18,0.0,0,1974.0,0.0,0.0
1975,10192,2,15,0.0,0,1972.0,1.0,0.0
1975,10193,3,11,0.0,0,1967.0,2.0,0.0
1975,10193,3,11,0.0,0,1970.0,0.0,0.0
1975,10194,1,20,0.0,0,1973.0,1.0,0.0
1975,10195,1,2,0.0,0,1967.0,1.0,0.0
1975,10196,2,6,0.0,0,1968.0,0.0,0.0
1975,10196,2,6,0.0,0,1968.0,1.0,0.0
1975,10197,2,19,0.0,0,1966.0,0.0,0.0
1975,10198,2,7,0.0,0,1968.0,1.0,0.0
1975,10198,2,7,0.0,0,1971.0,0.0,0.0
1975,10199,2,5,0.0,0,1966.0,1.0,0.0
1975,10200,1,4,0.0,0,1965.0,0.0,0.0
1975,10201,1,2,0.0,0,1969.0,0.0,0.0
1975,10202,3,22,0.0,0,1965.0,1.0,0.0
1975,10202,3,22,0.0,0,1967.0,0.0,0.0
1975,10203,2,13,0.0,0,1974.0,1.0,0.0
1975,10204,1,23,0.0,0,1965.0,0.0,0.0
1975,10204,1,23,0.0,0,1965.0,1.0,0.0
1975,10205,3,9,0.0,0,1971.0,1.0,0.0
1975,10205,3,9,0.0,0,1960.0,0.0,0.0
1975,10206,1,16,0.0,0,1964.0,3.0,0.0
1975,10206,1,16,0.0,0,1970.0,0.0,0.0
1975,10207,7,19,0.0,0,1970.0,1.0,0.0
1975,10208,1,1,0.0,0,1965.0,1.0,0.0
1975,10209,2,3,0.0,0,1971.0,1.0,0.0
1975,10210,2,18,0.0,0,1963.0,0.0,0.0
1975,10211,3,11,0.0,0,1973.0,1.0,0.0
1975,10212,5,6,0.0,0,1968.0,2.0,0.0
1975,10212,5,6,0.0,0,1975.0,0.0,0.0
1975,10213,1,15,0.0,0,1972.0,1.0,0.0
1975,10213,1,15,0.0,0,1956.0,0.0,0.0
1975,10214,1,3,0.0,0,1969.0,0.0,0.0
1975,10215,2,12,0.0,0,1974.0,0.0,0.0
1975,10215,2,12,0.0,0,1964.0,1.0,0.0
1975,10216,3,16,0.0,0,1970.0,1.0,0.0
1975,10217,3,11,0.0,0,1962.0,0.0,0.0
1975,10217,3,11,0.0,0,1972.0,1.0,0.0
1975,10218,3,19,0.0,0,1966.0,1.0,0.0
1975,10218,3,19,0.0,0,1972.0,0.0,0.0
1975,10219,4,4,0.0,0,1973.0,0.0,0.0
1975,10220,1,3,0.0,0,1974.0,0.0,0.0
1975,10221,1,17,0.0,0,1969.0,0.0,0.0
1975,10223,2,24,0.0,0,1971.0,1.0,0.0
1975,10224,2,22,0.0,0,1971.0,0.0,0.0
1975,10224,2,22,0.0,0,1970.0,1.0,0.0
1975,10224,2,22,0.0,0,1974.0,0.0,0.0
1975,10225,3,13,0.0,0,1974.0,0.0,0.0
1975,10226,1,2,0.0,0,1973.0,1.0,0.0
1975,10226,1,2,0.0,0,1973.0,0.0,0.0
1975,10227,2,7,0.0,0,1975.0,1.0,0.0
1975,10228,2,15,0.0,0,1974.0,0.0,0.0
1975,10228,2,15,0.0,0,1970.0,0.0,0.0
1975,10228,2,15,0.0,0,1972.0,1.0,0.0
1975,10229,3,20,0.0,0,1972.0,1.0,0.0
1975,10230,2,15,0.0,0,1971.0,0.0,0.0
1975,10231,2,7,0.0,0,1970.0,1.0,0.0
1975,10231,2,7,0.0,0,1969.0,0.0,0.0
1975,10232,3,21,0.0,0,1974.0,1.0,0.0
1975,10233,7,24,0.0,0,1974.0,1.0,0.0
1975,10233,7,24,0.0,0,1970.0,0.0,0.0
1975,10234,3,18,0.0,0,1970.0,1.0,0.0
1975,10235,3,16,0.0,0,1973.0,1.0,0.0
1975,10236,2,22,0.0,0,1966.0,0.0,0.0
1975,10236,2,22,0.0,0,1974.0,1.0,0.0
1975,10237,1,24,0.0,0,1973.0,1.0,0.0
1975,10237,1,24,0.0,0,1966.0,0.0,0.0
1975,10238,7,1,0.0,0,1964.0,1.0,0.0
1975,10238,7,1,0.0,0,1972.0,0.0,0.0
1975,10239,2,18,0.0,0,1974.0,0.0,0.0
1975,10239,2,18,0.0,0,1968.0,1.0,0.0
1975,10240,2,7,0.0,0,1973.0,0.0,0.0
1975,10240,2,7,0.0,0,1973.0,1.0,0.0
1975,10241,2,3,0.0,0,1965.0,1.0,0.0
1975,10241,2,3,0.0,0,1973.0,0.0,0.0
1975,10242,4,13,0.0,0,1974.0,1.0,0.0
1975,10243,1,21,0.0,0,1974.0,1.0,0.0
1975,10244,3,22,0.0,0,1972.0,1.0,0.0
1975,10244,3,22,0.0,0,1974.0,0.0,0.0
1975,10245,1,24,0.0,0,1968.0,2.0,0.0
1975,10246,3,13,0.0,0,1973.0,0.0,0.0
1975,10246,3,13,0.0,0,1963.0,2.0,0.0
1975,10247,3,11,0.0,0,1974.0,1.0,0.0
1975,10248,1,6,0.0,0,1972.0,1.0,0.0
1975,10249,4,12,0.0,0,1971.0,1.0,0.0
1975,10249,4,12,0.0,0,1972.0,0.0,0.0
1975,10250,3,2,0.0,0,1970.0,1.0,0.0
1975,10250,3,2,0.0,0,1975.0,0.0,0.0
1975,10251,1,20,0.0,0,1971.0,1.0,0.0
1975,10251,1,20,0.0,0,1971.0,0.0,0.0
1975,10252,1,18,0.0,0,1949.0,1.0,0.0
1975,10253,1,17,0.0,0,1964.0,1.0,0.0
1975,10254,5,17,0.0,0,1967.0,1.0,0.0
1975,10254,5,17,0.0,0,1968.0,0.0,0.0
1975,10255,1,9,0.0,0,1967.0,2.0,0.0
1975,10256,1,20,0.0,0,1970.0,1.0,0.0
1975,10257,2,7,0.0,0,1965.0,0.0,0.0
1975,10257,2,7,0.0,0,1962.0,1.0,0.0
1975,10258,2,4,0.0,0,1968.0,1.0,0.0
1975,10259,1,8,0.0,0,1970.0,1.0,0.0
1975,10260,7,23,0.0,0,1972.0,0.0,0.0
1975,10261,2,23,0.0,0,1974.0,0.0,0.0
1975,10261,2,23,0.0,0,1973.0,1.0,0.0
1975,10262,1,8,0.0,0,1970.0,0.0,0.0
1975,10263,6,19,0.0,0,1973.0,1.0,0.0
1975,10263,6,19,0.0,0,1965.0,0.0,0.0
1975,10264,3,1,0.0,0,1973.0,1.0,0.0
1975,10265,3,24,0.0,0,1973.0,0.0,0.0
1975,10266,4,16,0.0,0,1969.0,0.0,0.0
1975,10266,4,16,0.0,0,1966.0,1.0,0.0
1975,10267,1,24,0.0,0,1964.0,1.0,0.0
1975,10268,1,12,0.0,0,1966.0,0.0,0.0
1975,10268,1,12,0.0,0,1963.0,1.0,0.0
1975,10269,2,22,0.0,0,1971.0,1.0,0.0
1975,10270,1,6,0.0,0,1968.0,0.0,0.0
1975,10270,1,6,0.0,0,1968.0,2.0,0.0
1975,10271,3,20,0.0,0,1974.0,0.0,0.0
1975,10272,9,21,0.0,0,1971.0,1.0,0.0
1975,10272,9,21,0.0,0,1951.0,0.0,0.0
1975,10273,1,2,0.0,0,1958.0,1.0,0.0
1975,10274,5,24,0.0,0,1969.0,1.0,0.0
1975,10275,2,16,0.0,0,1968.0,1.0,0.0
1975,10276,2,7,0.0,0,1973.0,0.0,0.0
1975,10276,2,7,0.0,0,1969.0,1.0,0.0
1975,10277,2,20,0.0,0,1972.0,0.0,0.0
1975,10278,3,10,0.0,0,1970.0,0.0,0.0
1975,10278,3,10,0.0,0,1973.0,1.0,0.0
1975,10279,3,21,0.0,0,1969.0,1.0,0.0
1975,10280,2,18,0.0,0,1967.0,1.0,0.0
1975,10281,1,1,0.0,0,1961.0,1.0,0.0
1975,10282,3,16,0.0,0,1975.0,1.0,0.0
1975,10283,11,1,0.0,0,1974.0,0.0,0.0
1975,10284,2,1,0.0,0,1966.0,1.0,0.0
1975,10285,4,22,0.0,0,1967.0,1.0,0.0
1975,10286,2,23,0.0,0,1968.0,1.0,0.0
1975,10286,2,23,0.0,0,1975.0,0.0,0.0
1975,10287,1,19,0.0,0,1972.0,0.0,0.0
1975,10288,1,22,0.0,0,1968.0,0.0,0.0
1975,10288,1,22,0.0,0,1970.0,2.0,0.0
1975,10289,3,23,0.0,0,1968.0,1.0,0.0
1975,10289,3,23,0.0,0,1973.0,0.0,0.0
1975,10290,1,22,0.0,0,1972.0,0.0,0.0
1975,10291,3,1,0.0,0,1974.0,0.0,0.0
1975,10291,3,1,0.0,0,1974.0,1.0,0.0
1975,10292,1,1,0.0,0,1966.0,1.0,0.0
1975,10293,4,18,0.0,0,1971.0,1.0,0.0
1975,10293,4,18,0.0,0,1963.0,0.0,0.0
1975,10294,2,23,0.0,0,1971.0,0.0,0.0
1975,10294,2,23,0.0,0,1971.0,1.0,0.0
1975,10295,3,14,0.0,0,1973.0,0.0,0.0
1975,10295,3,14,0.0,0,1972.0,1.0,0.0
1975,10296,2,16,0.0,0,1972.0,0.0,0.0
1975,10296,2,16,0.0,0,1974.0,1.0,0.0
1975,10297,2,23,0.0,0,1968.0,0.0,0.0
1975,10297,2,23,0.0,0,1971.0,0.0,0.0
1975,10297,2,23,0.0,0,1974.0,2.0,0.0
1975,10298,3,6,0.0,0,1975.0,1.0,0.0
1975,10298,3,6,0.0,0,1975.0,0.0,0.0
1975,10299,2,22,0.0,0,1968.0,1.0,0.0
1975,10300,1,18,0.0,0,1973.0,1.0,0.0
1975,10301,1,18,0.0,0,1973.0,1.0,0.0
1975,10302,8,23,0.0,0,1970.0,1.0,0.0
1975,10302,8,23,0.0,0,1971.0,0.0,0.0
1975,10303,10,17,0.0,0,1970.0,0.0,0.0
1975,10303,10,17,0.0,0,1959.0,1.0,0.0
1975,10304,2,18,0.0,0,1974.0,0.0,0.0
1975,10305,2,4,0.0,0,1965.0,1.0,0.0
1975,10305,2,4,0.0,0,1969.0,0.0,0.0
1975,10305,2,4,0.0,0,1974.0,0.0,0.0
1975,10305,2,4,0.0,0,1974.0,0.0,0.0
1975,10306,1,23,0.0,0,1972.0,0.0,0.0
1975,10306,1,23,0.0,0,1968.0,1.0,0.0
1975,10307,2,23,0.0,0,1974.0,0.0,0.0
1975,10308,2,23,0.0,0,1968.0,1.0,0.0
1975,10309,2,23,0.0,0,1974.0,0.0,0.0
1975,10310,1,3,0.0,0,1968.0,1.0,0.0
1975,10310,1,3,0.0,0,1966.0,0.0,0.0
1975,10311,1,24,0.0,0,1954.0,1.0,0.0
1975,10312,4,22,0.0,0,1963.0,0.0,0.0
1975,10313,2,3,0.0,0,1974.0,0.0,0.0
1975,10314,2,20,0.0,0,1967.0,2.0,0.0
1975,10314,2,20,0.0,0,1966.0,0.0,0.0
1975,10315,2,12,0.0,0,1962.0,0.0,0.0
1975,10315,2,12,0.0,0,1970.0,1.0,0.0
1975,10316,1,24,0.0,0,1973.0,1.0,0.0
1975,10317,1,9,0.0,0,1974.0,1.0,0.0
1975,10317,1,9,0.0,0,1966.0,0.0,0.0
1975,10317,1,9,0.0,0,1975.0,0.0,0.0
1975,10318,2,12,0.0,0,1961.0,1.0,0.0
1975,10318,2,12,0.0,0,1963.0,0.0,0.0
