YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2001,10083,0,2,19,99999999999999999999,72.97602739726027,0,1,1988.0,0,0
2001,10084,0,2,4,SR-77SP,28.0,0,1,2001.0,1,0
2001,10085,0,2,16,US-41 (SR 19),47.0,0,1,1993.0,0,0
2001,10086,0,1,16,SCENIC DR,12.0,0,1,1994.0,1,0
2001,10087,0,2,15,584,10.0,0,2,1999.0,0,0
2001,10087,0,2,15,584,10.0,0,0,1992.0,0,0
2001,10088,0,4,23,241,4.0,0,1,1988.0,0,0
2001,10089,1,2,20,US-41 (SR3),5.0,0,1,1990.0,0,0
2001,10089,1,2,20,US-41 (SR3),5.0,0,0,1978.0,0,0
2001,10089,1,2,20,US-41 (SR3),5.0,0,0,1989.0,0,0
2001,10090,0,2,1,855,8.0,0,1,1988.0,0,0
2001,10090,0,2,1,855,8.0,0,1,1991.0,0,0
2001,10091,0,4,21,1148,64.0,0,1,1991.0,0,0
2001,10092,0,2,2,I-185 (SR 411),61.0,0,1,1986.0,0,0
2001,10092,0,2,2,I-185 (SR 411),61.0,0,0,1994.0,0,0
2001,10093,0,3,6,US-411 (SR 20),271.0,0,1,2001.0,0,0
2001,10094,0,3,11,SR-101,74.0,0,1,1993.0,0,0
2001,10095,0,2,14,SR-51,117.0,0,1,1989.0,1,0
2001,10096,1,2,10,US-27BU (SR 1 BU),33.0,0,1,1993.0,0,0
2001,10096,1,2,10,US-27BU (SR 1 BU),33.0,0,0,2000.0,0,0
2001,10097,2,3,21,US-27 (SR 520),29.0,0,1,2000.0,0,0
2001,10097,2,3,21,US-27 (SR 520),29.0,0,0,1989.0,0,0
2001,10098,1,2,23,US-25 (SR 121),139.0,0,0,1986.0,0,0
2001,10098,1,2,23,US-25 (SR 121),139.0,0,1,1990.0,0,0
2001,10099,0,4,15,US-411 (SR 61),48.0,0,1,1994.0,0,0
2001,10100,0,8,6,I-75 (SR 401),124.0,0,1,1987.0,1,0
2001,10101,0,2,9,I-520 (SR 415),44.0,0,1,1997.0,0,0
2001,10102,0,5,17,69,2.0,0,1,1992.0,0,0
2001,10103,0,2,5,I-285 (SR 407),47.0,0,1,1995.0,0,0
2001,10104,0,9,15,SR-16,58.0,1,1,1986.0,1,0
2001,10105,0,5,11,SR-53,170.0,0,1,1995.0,0,0
2001,10106,0,1,22,390,15.0,0,1,2000.0,0,0
2001,10106,0,1,22,390,15.0,0,0,1993.0,0,0
2001,10107,0,4,7,SOUTH HAMILTON ST,11.0,0,1,1996.0,0,0
2001,10108,0,2,21,I-85 (SR 403),137.0,0,1,1977.0,0,0
2001,10109,1,2,1,I-85 (SR 403),28.0,0,0,1992.0,1,0
2001,10109,1,2,1,I-85 (SR 403),28.0,0,1,1993.0,0,0
2001,10110,0,1,10,I-75 (SR 401),68.0,0,1,1985.0,0,0
2001,10111,0,3,14,SR-24,122.0,0,1,1985.0,0,0
2001,10111,0,3,14,SR-24,122.0,0,0,1996.0,0,0
2001,10112,0,1,19,233,78.0,0,0,1998.0,0,0
