YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1991,10136,1,2,1,10L0,4.0,0,0,1985.0,1,0
1991,10137,1,2,2,I75,2004.0,0,0,1984.0,1,0
1991,10138,0,1,23,SR42,85.0,0,0,1990.0,0,1
1991,10138,0,1,23,SR42,85.0,0,0,1989.0,1,0
1991,10139,0,1,10,293,52.0,0,0,1990.0,1,0
1991,10140,1,2,1,15,135.0,0,0,1985.0,1,1
1991,10141,0,5,19,260,16.0,0,0,1967.0,1,0
1991,10141,0,5,19,260,16.0,0,0,1979.0,0,0
1991,10141,0,5,19,260,16.0,0,0,1976.0,0,0
1991,10142,0,6,14,SR8,16.0,0,0,1987.0,0,0
1991,10143,0,4,22,383,3.0,0,0,1985.0,0,0
1991,10143,0,4,22,383,3.0,0,0,1980.0,1,0
1991,10144,0,2,14,SR3,74.0,0,0,1987.0,0,0
1991,10145,0,2,10,1796,8.0,0,0,1983.0,1,1
1991,10146,0,3,23,28,55.0,0,0,1987.0,1,0
1991,10147,0,1,23,129,42.0,0,0,1980.0,1,0
1991,10148,0,3,19,SR24,89.0,0,0,1973.0,1,0
1991,10149,0,1,19,91,125.0,0,0,1985.0,1,0
1991,10150,1,2,16,883,2423.0,0,0,1990.0,1,0
1991,10150,1,2,16,883,2423.0,0,0,1989.0,0,0
1991,10150,1,2,16,883,2423.0,0,0,1985.0,0,0
1991,10151,0,1,12,SR35,159.0,0,0,1973.0,1,1
1991,10152,0,4,10,SR14,121.0,0,0,1975.0,0,0
1991,10153,0,7,1,I20,360.0,0,0,1988.0,1,1
1991,10154,0,6,21,562,23.0,0,0,1978.0,3,1
1991,10155,0,1,6,I95,493.0,0,0,1975.0,1,0
1991,10156,0,5,19,120,7.0,0,0,1989.0,0,0
1991,10156,0,5,19,120,7.0,0,0,1988.0,1,0
1991,10156,0,5,19,120,7.0,0,0,1979.0,1,0
1991,10157,0,2,10,569 ``,36.0,0,0,1983.0,1,0
1991,10158,0,4,19,I75,554.0,0,0,1979.0,1,1
1991,10159,0,1,9,560,2423.0,0,0,1984.0,1,0
1991,10160,0,1,8,70,24.0,0,0,1979.0,1,0
1991,10161,0,2,24,420,1.0,0,0,1989.0,1,0
1991,10162,0,1,6,95,19.0,0,0,1988.0,1,0
1991,10163,0,1,17,SR10,223.0,0,2,1965.0,0,0
1991,10164,0,6,18,SR1,30.0,0,0,1984.0,1,0
1991,10165,0,2,6,SR38,164.0,0,0,1990.0,3,0
1991,10166,0,3,6,I20,1547.0,0,0,1967.0,1,0
1991,10167,0,2,19,68,0.0,0,0,1969.0,0,1
1991,10167,0,2,19,68,0.0,0,0,1986.0,2,0
1991,10168,0,8,2,SR42,21.0,0,0,1966.0,1,0
1991,10169,1,2,17,I95,100.0,0,0,1988.0,1,1
1991,10170,1,2,20,1227,5.0,0,0,1978.0,1,0
1991,10171,0,1,2,138,164.0,0,0,1990.0,0,1
1991,10171,0,1,2,138,164.0,0,0,1988.0,1,0
1991,10172,1,2,22,424,12.0,0,0,1975.0,1,0
1991,10173,0,3,14,145,17.0,0,0,1988.0,1,1
1991,10174,0,1,8,140,15.0,0,0,1989.0,1,0
1991,10174,0,1,8,140,15.0,0,0,1980.0,0,0
1991,10175,0,3,12,SR11,17.0,0,0,1986.0,1,0
1991,10175,0,3,12,SR11,17.0,0,0,1989.0,1,0
1991,10176,0,1,20,207,4.0,0,0,1984.0,2,0
1991,10177,0,2,22,66,1.0,0,0,1985.0,1,0
1991,10178,0,1,9,197,36.0,0,0,1985.0,1,1
1991,10179,0,2,13,SR520,207.0,0,0,1983.0,2,0
1991,10179,0,2,13,SR520,207.0,0,0,1985.0,0,0
1991,10180,0,2,11,I75,33.0,0,0,1983.0,1,0
1991,10180,0,2,11,I75,33.0,0,0,1953.0,0,0
1991,10181,0,4,3,I75,316.0,0,0,1989.0,1,1
1991,10182,0,2,2,666,28.0,0,0,1988.0,1,0
1991,10183,0,2,14,106,166.0,0,0,1987.0,1,1
1991,10183,0,2,14,106,166.0,0,0,1987.0,1,0
1991,10184,0,3,16,592,2423.0,0,0,1990.0,1,0
1991,10184,0,3,16,592,2423.0,0,0,1989.0,0,0
1991,10185,0,3,10,140,39.0,0,0,1975.0,1,0
1991,10186,0,1,8,307,74.0,0,0,1978.0,1,1
1991,10187,0,3,15,SR1,66.0,0,0,1991.0,0,0
1991,10187,0,3,15,SR1,66.0,0,0,1985.0,1,1
1991,10188,0,2,14,2555,3.0,0,0,1983.0,1,1
1991,10188,0,2,14,2555,3.0,0,0,1980.0,0,1
1991,10189,1,3,1,I285,126.0,0,0,1974.0,1,0
1991,10190,0,3,21,235,20.0,0,0,1981.0,1,0
1991,10190,0,3,21,235,20.0,0,0,1988.0,0,0
1991,10191,0,3,17,20,21.0,0,0,1989.0,1,1
1991,10191,0,3,17,20,21.0,0,0,1986.0,0,0
1991,10192,0,2,19,61,274.0,0,0,1979.0,1,1
1991,10193,0,2,3,11,116.0,0,0,1983.0,1,1
1991,10194,0,1,20,SR8,62.0,0,0,1979.0,1,0
1991,10195,0,4,19,17,69.0,0,0,1977.0,1,1
1991,10196,0,3,3,SR23,29.0,0,0,1971.0,0,0
1991,10197,0,3,7,41,242.0,0,0,1990.0,1,1
1991,10198,0,3,21,SR13,17.0,0,0,1989.0,0,0
1991,10198,0,3,21,SR13,17.0,0,0,1986.0,1,0
1991,10199,0,3,15,120,168.0,0,0,1989.0,1,0
1991,10200,0,1,18,26,16.0,0,0,1988.0,0,1
1991,10200,0,1,18,26,16.0,0,0,1977.0,1,0
1991,10201,0,5,13,48,43.0,0,0,1983.0,0,0
1991,10202,0,2,11,5196,13.0,0,0,1981.0,0,0
1991,10202,0,2,11,5196,13.0,0,0,1986.0,1,0
1991,10203,0,7,8,124,43.0,0,0,1982.0,0,0
1991,10204,0,1,23,74,171.0,0,0,1977.0,0,0
1991,10204,0,1,23,74,171.0,0,0,1983.0,1,0
1991,10205,0,4,22,32,132.0,0,0,1985.0,1,0
1991,10206,0,2,5,SR15,147.0,0,0,1989.0,1,0
1991,10207,0,2,3,SR8,102.0,0,0,1987.0,0,0
1991,10207,0,2,3,SR8,102.0,0,0,1986.0,1,0
1991,10207,0,2,3,SR8,102.0,0,0,1999.0,0,0
1991,10208,0,5,7,137,156.0,0,0,1977.0,1,0
1991,10209,0,3,21,622,3.0,0,0,1986.0,0,0
1991,10209,0,3,21,622,3.0,0,0,1983.0,1,0
1991,10210,0,3,13,260,46.0,0,0,1985.0,1,1
1991,10211,1,2,22,260,38.0,0,0,1978.0,1,1
1991,10212,0,2,12,SR5,93.0,0,0,1980.0,0,0
1991,10213,0,2,3,139,23.0,0,0,1971.0,1,1
1991,10214,0,3,17,202,18.0,0,0,1990.0,1,0
1991,10215,0,2,3,64,127.0,0,0,1979.0,1,0
1991,10216,0,2,7,I20,640.0,0,0,1991.0,1,0
1991,10217,0,5,13,53,95.0,0,0,1987.0,1,1
1991,10218,0,3,17,I16,1626.0,0,0,1985.0,1,0
1991,10219,0,7,21,242,6.0,0,0,1985.0,0,0
