YEAR,ST_CASE,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1982,10136,8,17,61,12.0,0,0,1981.0,1,1
1982,10137,2,3,16E RAMP,38944.0,0,0,1978.0,1,1
1982,10138,2,13,S1324,38944.0,0,0,1980.0,1,0
1982,10139,3,15,285WB,38944.0,0,0,1982.0,0,0
1982,10139,3,15,285WB,38944.0,0,0,1970.0,1,0
1982,10140,2,11,16,439.0,0,0,1973.0,1,0
1982,10140,2,11,16,439.0,0,0,1978.0,0,0
1982,10141,2,18,HWY138,35.0,0,0,1966.0,1,1
1982,10142,1,19,75,3501.0,0,0,1969.0,0,0
1982,10142,1,19,75,3501.0,0,0,1975.0,1,0
1982,10143,2,4,1,38944.0,0,0,1972.0,0,0
1982,10144,2,9,53,183.0,0,0,1973.0,1,0
1982,10145,1,9,GA219,38.0,0,0,1976.0,0,0
1982,10146,2,20,60,297.0,0,0,1973.0,1,1
1982,10147,3,22,6,22.0,0,0,1978.0,1,0
1982,10148,2,13,640,38944.0,0,0,1977.0,1,0
1982,10149,3,21,920,38944.0,0,0,1981.0,1,0
1982,10150,5,13,HOLCOMBBRG,38944.0,0,0,1982.0,1,0
1982,10151,5,14,CORNELIAHY,38944.0,0,0,1978.0,1,0
1982,10152,2,17,S548,38944.0,0,0,1974.0,0,0
1982,10152,2,17,S548,38944.0,0,0,1980.0,1,0
1982,10153,2,1,285,38944.0,0,0,1963.0,0,0
1982,10154,2,4,93,226.0,0,0,1982.0,1,0
1982,10155,1,3,GA155,174.0,0,0,1977.0,1,0
1982,10156,3,19,250,38944.0,0,0,1970.0,1,1
1982,10157,2,5,NCLAREDON,38944.0,0,0,1972.0,1,0
1982,10157,2,5,NCLAREDON,38944.0,0,0,1969.0,0,0
1982,10158,2,1,ABERCORNST,38944.0,0,0,1978.0,0,0
1982,10158,2,1,ABERCORNST,38944.0,0,0,1968.0,2,0
1982,10159,2,21,309,20.0,0,0,1978.0,0,0
1982,10159,2,21,309,20.0,0,0,1978.0,1,0
1982,10160,1,2,JOHNSONFER,38944.0,0,0,1979.0,0,0
1982,10160,1,2,JOHNSONFER,38944.0,0,0,1977.0,2,0
1982,10161,4,24,85,38944.0,0,0,1977.0,1,0
1982,10161,4,24,85,38944.0,0,0,1974.0,0,0
